Country,ISO2,ISO3,Indicator,Variable,Unit,Model,Scenarios,Source,CTS Code,CTS Name,CTS Full Descriptor,2020,2025,2030,2035,2040,2045,2050
United States,US,USA,Primary energy,Biomass,EJ/yr,MESSAGEix-GLOBIOM,Low Demand,,,,,6.4363,6.4443,7.8482,7.0135,7.0912,6.4477,5.2099
United States,US,USA,Primary energy,Biomass,EJ/yr,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),,,,,6.4152,6.4257,7.7663,7.2638,6.9048,6.0897,5.1004
United States,US,USA,Primary energy,Biomass,EJ/yr,MESSAGEix-GLOBIOM,Net Zero 2050,,,,,6.4078,6.4205,7.1446,6.3528,6.9983,6.66,5.9494
United States,US,USA,Primary energy,Biomass,EJ/yr,REMIND-MAgPIE,Below 2°C,,,,,5.3715,7.1487,7.9169,8.083,8.4019,8.9322,9.8538
United States,US,USA,Primary energy,Biomass,EJ/yr,REMIND-MAgPIE,Current Policies,,,,,5.3715,7.0377,6.6051,6.0945,5.8643,6.1948,6.101
United States,US,USA,Primary energy,Biomass,EJ/yr,REMIND-MAgPIE,Delayed transition,,,,,5.3715,7.0377,6.6051,6.3777,8.3315,12.1475,15.4823
United States,US,USA,Primary energy,Biomass,EJ/yr,REMIND-MAgPIE,Fragmented World,,,,,5.3715,7.0377,6.6051,6.4847,7.9372,9.3507,10.8333
United States,US,USA,Primary energy,Biomass,EJ/yr,REMIND-MAgPIE,Low Demand,,,,,5.3715,6.969,8.7826,10.4991,12.1285,13.0172,13.6145
United States,US,USA,Primary energy,Biomass,EJ/yr,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),,,,,5.3715,7.366,9.0841,10.4359,11.9197,13.2881,14.5395
United States,US,USA,Primary energy,Biomass,EJ/yr,REMIND-MAgPIE,Net Zero 2050,,,,,5.3715,7.6041,9.5819,12.8815,15.5685,16.1,15.9517
United States,US,USA,Primary energy,Coal,EJ/yr,GCAM,Below 2°C,,,,,8.9306,7.3502,1.7676,1.2851,0.8424,0.6741,0.619
United States,US,USA,Primary energy,Coal,EJ/yr,GCAM,Current Policies,,,,,8.935,8.056,4.6873,5.5982,4.9481,3.9472,2.9573
