RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31
394483,189,"College Station, TX",msa,TX,,,,,,,,,,34.0,31.0,28.0,32.0,27.0,28.0,34.0,29.0,32.0,32.0,32.0,34.0,36.0,37.0,29.0,39.0,33.0,35.0,38.0,36.0,36.0,37.0,38.0,37.0,36.0,35.0,35.0,37.0,38.0,39.0,38.0,40.0,38.0,40.0,34.0,34.0,37.0,33.0,33.0,39.0,33.0,31.0,33.0,29.0,34.0,32.0,31.0,27.0,29.0,30.0,33.0,33.0,29.0,28.0,32.0,29.0,31.0,30.0,30.0,32.0,35.0,28.0,31.0
394732,190,"Kalamazoo, MI",msa,MI,40.0,38.0,37.0,37.0,40.0,42.0,40.0,38.0,40.0,39.0,39.0,38.0,38.0,40.0,38.0,39.0,38.0,40.0,40.0,37.0,38.0,39.0,41.0,41.0,44.0,36.0,37.0,42.0,45.0,,,40.0,42.0,43.0,41.0,41.0,41.0,40.0,39.0,40.0,38.0,39.0,39.0,40.0,38.0,38.0,38.0,39.0,41.0,38.0,35.0,34.0,34.0,36.0,36.0,35.0,36.0,36.0,33.0,33.0,37.0,33.0,32.0,33.0,34.0,34.0,35.0,34.0,34.0,32.0,34.0,33.0
394811,191,"Lynchburg, VA",msa,VA,,,,,,,,,,,26.0,31.0,38.0,43.0,41.0,40.0,41.0,44.0,40.0,39.0,42.0,36.0,41.0,45.0,47.0,38.0,39.0,40.0,39.0,44.0,40.0,39.0,31.0,41.0,43.0,44.0,44.0,37.0,41.0,40.0,33.0,31.0,40.0,40.0,40.0,38.0,42.0,40.0,43.0,39.0,36.0,37.0,40.0,39.0,38.0,37.0,34.0,37.0,38.0,35.0,40.0,35.0,35.0,35.0,36.0,35.0,33.0,37.0,32.0,33.0,33.0,32.0
394455,192,"Charleston, WV",msa,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,48.0,29.0,42.0,50.0,49.0,26.0,37.0,45.0,42.0,47.0,49.0,45.0,45.0,42.0,47.0,43.0,44.0,50.0,45.0,44.0,43.0,42.0,44.0,44.0,42.0,42.0,42.0,44.0,39.0,38.0,40.0,37.0,39.0,41.0,39.0,40.0,40.0,40.0,41.0,38.0,42.0
395240,193,"Yakima, WA",msa,WA,44.0,36.0,35.0,40.0,40.0,43.0,42.0,39.0,41.0,42.0,37.0,41.0,40.0,37.0,36.0,33.0,37.0,38.0,40.0,39.0,42.0,43.0,40.0,44.0,45.0,41.0,36.0,41.0,40.0,41.0,41.0,42.0,47.0,45.0,45.0,45.0,44.0,44.0,42.0,41.0,44.0,42.0,44.0,41.0,41.0,46.0,42.0,42.0,46.0,39.0,41.0,35.0,36.0,37.0,34.0,33.0,33.0,33.0,34.0,33.0,32.0,36.0,30.0,33.0,35.0,33.0,33.0,34.0,34.0,31.0,30.0,34.0
394585,194,"Fargo, ND",msa,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,21.0,29.0,38.0,37.0,37.0,36.0,34.0,33.0,31.0
394387,195,"Binghamton, NY",msa,NY,45.0,44.0,42.0,40.0,47.0,43.0,45.0,47.0,45.0,43.0,47.0,44.0,47.0,43.0,40.0,34.0,35.0,39.0,47.0,47.0,39.0,43.0,42.0,39.0,47.0,35.0,39.0,47.0,55.0,44.0,46.0,49.0,49.0,56.0,63.0,62.0,66.0,62.0,52.0,56.0,56.0,62.0,62.0,64.0,65.0,63.0,61.0,60.0,66.0,61.0,59.0,59.0,61.0,60.0,58.0,58.0,58.0,57.0,57.0,56.0,62.0,57.0,51.0,54.0,55.0,58.0,58.0,58.0,54.0,60.0,55.0,57.0
394609,196,"Fort Smith, AR",msa,AR,36.0,28.0,31.0,30.0,32.0,33.0,33.0,31.0,32.0,30.0,35.0,28.0,30.0,32.0,32.0,29.0,33.0,34.0,32.0,31.0,31.0,30.0,32.0,33.0,32.0,30.0,34.0,32.0,35.0,33.0,35.0,37.0,36.0,36.0,38.0,38.0,35.0,35.0,33.0,35.0,36.0,37.0,36.0,37.0,35.0,35.0,37.0,35.0,37.0,35.0,34.0,33.0,35.0,34.0,33.0,32.0,32.0,29.0,31.0,28.0,31.0,30.0,32.0,31.0,31.0,35.0,30.0,31.0,33.0,32.0,28.0,28.0
394334,197,"Appleton, WI",msa,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,17.0,9.0,16.0,14.0,9.0,12.0,13.0,8.0,11.0
845160,198,"Prescott Valley, AZ",msa,AZ,40.0,35.0,35.0,35.0,37.0,36.0,35.0,36.0,36.0,35.0,35.0,34.0,38.0,34.0,34.0,34.0,35.0,34.0,35.0,36.0,36.0,37.0,35.0,38.0,41.0,35.0,36.0,40.0,37.0,34.0,27.0,33.0,37.0,39.0,39.0,38.0,40.0,38.0,35.0,33.0,35.0,37.0,35.0,36.0,36.0,36.0,35.0,35.0,37.0,34.0,32.0,32.0,32.0,35.0,31.0,32.0,32.0,31.0,31.0,29.0,34.0,29.0,30.0,33.0,31.0,32.0,34.0,33.0,32.0,30.0,32.0,30.0
